연번,시위일자,호선,역명,,,,,,,,,,,,
106,2022-05-09,4,삼각지,,,,,,,,,,,,
107,2022-05-09,4,?,,,,,,,,,,,,
108,2022-05-11,4,삼각지,,,,,,,,,,,,
109,2022-05-11,4,?,,,,,,,,,,,,
110,2022-05-12,4,?,,,,,,,,,,,,
111,2022-05-13,4,삼각지,,,,,,,,,,,,
112,2022-05-13,4,?,,,,,,,,,,,,
113,2022-05-16,4,삼각지,,,,,,,,,,,,
114,2022-05-16,4,숙대입구(갈월),,,,,,,,,,,,
115,2022-05-16,4,서울역,,,,,,,,,,,,
116,2022-05-16,4,회현(남대문시장),,,,,,,,,,,,
117,2022-05-16,4,명동,,,,,,,,,,,,
118,2022-05-16,4,충무로,,,,,,,,,,,,
119,2022-05-16,4,동대문역사문화공원(DDP),,,,,,,,,,,,
120,2022-05-16,4,동대문,,,,,,,,,,,,
121,2022-05-16,4,혜화,,,,,,,,,,,,
122,2022-05-16,4,한성대입구(삼선교),,,,,,,,,,,,
123,2022-05-16,4,혜화,,,,,,,,,,,,
124,2022-05-18,4,삼각지,,,,,,,,,,,,
125,2022-05-18,4,?,,,,,,,,,,,,
126,2022-05-19,4,삼각지,,,,,,,,,,,,
127,2022-05-19,4,숙대입구(갈월),,,,,,,,,,,,
128,2022-05-19,4,서울역,,,,,,,,,,,,
129,2022-05-19,4,회현(남대문시장),,,,,,,,,,,,
130,2022-05-19,4,명동,,,,,,,,,,,,
131,2022-05-19,4,충무로,,,,,,,,,,,,
132,2022-05-19,4,동대문역사문화공원(DDP),,,,,,,,,,,,
133,2022-05-19,4,동대문,,,,,,,,,,,,
134,2022-05-19,4,혜화,,,,,,,,,,,,
135,2022-05-19,4,한성대입구(삼선교),,,,,,,,,,,,
136,2022-05-19,4,혜화,,,,,,,,,,,,
137,2022-05-20,4,?,,,,,,,,,,,,
138,2022-05-23,4,삼각지,,,,,,,,,,,,
139,2022-05-23,4,?,,,,,,,,,,,,
140,2022-05-24,4,삼각지,,,,,,,,,,,,
141,2022-05-24,4,?,,,,,,,,,,,,
142,2022-05-25,4,삼각지,,,,,,,,,,,,
143,2022-05-25,4,?,,,,,,,,,,,,
144,2022-05-26,4,삼각지,,,,,,,,,,,,
145,2022-05-26,4,?,,,,,,,,,,,,
146,2022-05-27,4,삼각지,,,,,,,,,,,,
147,2022-05-30,4,삼각지,,,,,,,,,,,,
148,2022-05-30,4,숙대입구(갈월),,,,,,,,,,,,
149,2022-05-30,4,서울역,,,,,,,,,,,,
150,2022-05-30,4,회현(남대문시장),,,,,,,,,,,,
151,2022-05-30,4,명동,,,,,,,,,,,,
152,2022-05-30,4,충무로,,,,,,,,,,,,
153,2022-05-30,4,동대문역사문화공원(DDP),,,,,,,,,,,,
154,2022-05-30,4,동대문,,,,,,,,,,,,
155,2022-05-30,4,혜화,,,,,,,,,,,,
156,2022-05-30,4,한성대입구(삼선교),,,,,,,,,,,,
157,2022-05-30,4,혜화,,,,,,,,,,,,
158,2022-05-31,4,삼각지,,,,,,,,,,,,
159,2022-05-31,4,?,,,,,,,,,,,,
160,2022-06-02,4,삼각지,,,,,,,,,,,,
161,2022-06-02,4,숙대입구(갈월),,,,,,,,,,,,
162,2022-06-02,4,서울역,,,,,,,,,,,,
163,2022-06-02,4,회현(남대문시장),,,,,,,,,,,,
164,2022-06-03,4,삼각지,,,,,,,,,,,,
165,2022-06-03,4,숙대입구(갈월),,,,,,,,,,,,
166,2022-06-03,4,서울역,,,,,,,,,,,,
167,2022-06-03,4,회현(남대문시장),,,,,,,,,,,,
168,2022-06-07,4,삼각지,,,,,,,,,,,,
169,2022-06-07,4,숙대입구(갈월),,,,,,,,,,,,
170,2022-06-07,4,서울역,,,,,,,,,,,,
171,2022-06-07,4,회현(남대문시장),,,,,,,,,,,,
172,2022-06-08,4,삼각지,,,,,,,,,,,,
173,2022-06-08,4,숙대입구(갈월),,,,,,,,,,,,
174,2022-06-08,4,서울역,,,,,,,,,,,,
175,2022-06-08,4,회현(남대문시장),,,,,,,,,,,,
176,2022-06-09,4,?,,,,,,,,,,,,
177,2022-06-10,4,?,,,,,,,,,,,,
178,2022-06-13,4,혜화,,,,,,,,,,,,
179,2022-06-13,4,동대문,,,,,,,,,,,,
180,2022-06-13,4,동대문역사문화공원(DDP),,,,,,,,,,,,
181,2022-06-13,4,충무로,,,,,,,,,,,,
182,2022-06-13,4,명동,,,,,,,,,,,,
183,2022-06-13,4,회현(남대문시장),,,,,,,,,,,,
184,2022-06-13,4,서울역,,,,,,,,,,,,
185,2022-06-13,4,숙대입구(갈월),,,,,,,,,,,,
186,2022-06-13,4,삼각지,,,,,,,,,,,,
187,2022-06-14,4,삼각지,,,,,,,,,,,,
188,2022-06-14,4,숙대입구(갈월),,,,,,,,,,,,
189,2022-06-14,4,서울역,,,,,,,,,,,,
190,2022-06-14,4,회현(남대문시장),,,,,,,,,,,,
191,2022-06-15,4,삼각지,,,,,,,,,,,,
192,2022-06-15,4,숙대입구(갈월),,,,,,,,,,,,
193,2022-06-15,4,서울역,,,,,,,,,,,,
194,2022-06-15,4,회현(남대문시장),,,,,,,,,,,,
195,2022-06-16,4,삼각지,,,,,,,,,,,,
196,2022-06-16,4,숙대입구(갈월),,,,,,,,,,,,
197,2022-06-16,4,서울역,,,,,,,,,,,,
198,2022-06-16,4,회현(남대문시장),,,,,,,,,,,,
199,2022-06-16,4,명동,,,,,,,,,,,,
200,2022-06-16,4,충무로,,,,,,,,,,,,
201,2022-06-16,4,동대문역사문화공원(DDP),,,,,,,,,,,,
202,2022-06-16,4,동대문,,,,,,,,,,,,
203,2022-06-16,4,혜화,,,,,,,,,,,,
204,2022-06-17,4,삼각지,,,,,,,,,,,,
205,2022-06-17,4,?,,,,,,,,,,,,
206,2022-06-20,4,혜화,,,,,,,,,,,,
207,2022-06-20,4,동대문,,,,,,,,,,,,
208,2022-06-20,4,동대문역사문화공원(DDP),,,,,,,,,,,,
209,2022-06-21,4,?,,,,,,,,,,,,
210,2022-06-22,4,삼각지,,,,,,,,,,,,
211,2022-06-22,4,숙대입구(갈월),,,,,,,,,,,,
212,2022-06-22,4,서울역,,,,,,,,,,,,
213,2022-06-22,4,회현(남대문시장),,,,,,,,,,,,
214,2022-06-22,4,명동,,,,,,,,,,,,
215,2022-06-22,4,충무로,,,,,,,,,,,,
216,2022-06-22,4,동대문역사문화공원(DDP),,,,,,,,,,,,
217,2022-06-22,4,동대문,,,,,,,,,,,,
218,2022-06-22,4,혜화,,,,,,,,,,,,
219,2022-06-23,4,삼각지,,,,,,,,,,,,
220,2022-06-23,4,숙대입구(갈월),,,,,,,,,,,,
221,2022-06-23,4,서울역,,,,,,,,,,,,
222,2022-06-23,4,회현(남대문시장),,,,,,,,,,,,
223,2022-06-23,4,명동,,,,,,,,,,,,
224,2022-06-23,4,충무로,,,,,,,,,,,,
225,2022-06-23,4,동대문역사문화공원(DDP),,,,,,,,,,,,
226,2022-06-23,4,동대문,,,,,,,,,,,,
227,2022-06-23,4,혜화,,,,,,,,,,,,
228,2022-06-24,4,삼각지,,,,,,,,,,,,
229,2022-06-24,4,숙대입구(갈월),,,,,,,,,,,,
230,2022-06-24,4,서울역,,,,,,,,,,,,
231,2022-06-24,4,회현(남대문시장),,,,,,,,,,,,
232,2022-06-24,4,명동,,,,,,,,,,,,
233,2022-06-24,4,충무로,,,,,,,,,,,,
234,2022-06-24,4,동대문역사문화공원(DDP),,,,,,,,,,,,
235,2022-06-24,4,동대문,,,,,,,,,,,,
236,2022-06-24,4,혜화,,,,,,,,,,,,
237,2022-06-27,4,혜화,,,,,,,,,,,,
238,2022-06-27,4,동대문,,,,,,,,,,,,
239,2022-06-27,4,동대문역사문화공원(DDP),,,,,,,,,,,,
240,2022-06-27,4,충무로,,,,,,,,,,,,
241,2022-06-28,4,삼각지,,,,,,,,,,,,
242,2022-06-28,4,?,,,,,,,,,,,,
243,2022-06-29,4,삼각지,,,,,,,,,,,,
244,2022-06-29,4,숙대입구(갈월),,,,,,,,,,,,
245,2022-06-29,4,서울역,,,,,,,,,,,,
246,2022-06-29,4,회현(남대문시장),,,,,,,,,,,,
247,2022-06-29,4,명동,,,,,,,,,,,,
248,2022-06-29,4,충무로,,,,,,,,,,,,
249,2022-06-29,4,동대문역사문화공원(DDP),,,,,,,,,,,,
250,2022-06-29,4,동대문,,,,,,,,,,,,
251,2022-06-29,4,혜화,,,,,,,,,,,,
252,2022-07-01,4,회현(남대문시장),,,,,,,,,,,,
253,2022-07-01,4,명동,,,,,,,,,,,,
254,2022-07-01,4,충무로,,,,,,,,,,,,
255,2022-07-01,4,동대문역사문화공원(DDP),,,,,,,,,,,,
256,2022-07-01,4,동대문,,,,,,,,,,,,
257,2022-07-01,4,서울역,,,,,,,,,,,,
258,2022-07-01,4,숙대입구(갈월),,,,,,,,,,,,
259,2022-07-01,4,삼각지,,,,,,,,,,,,
260,2022-07-04,4,삼각지,,,,,,,,,,,,
261,2022-07-04,4,숙대입구(갈월),,,,,,,,,,,,
262,2022-07-04,4,서울역,,,,,,,,,,,,
263,2022-07-04,4,회현(남대문시장),,,,,,,,,,,,
264,2022-07-04,4,명동,,,,,,,,,,,,
265,2022-07-04,4,충무로,,,,,,,,,,,,
266,2022-07-04,4,동대문역사문화공원(DDP),,,,,,,,,,,,
267,2022-07-04,4,동대문,,,,,,,,,,,,
268,2022-07-04,4,혜화,,,,,,,,,,,,
269,2022-07-04,4,한성대입구(삼선교),,,,,,,,,,,,
270,2022-07-04,4,혜화,,,,,,,,,,,,
271,2022-07-05,4,삼각지,,,,,,,,,,,,
272,2022-07-05,4,숙대입구(갈월),,,,,,,,,,,,
273,2022-07-05,4,서울역,,,,,,,,,,,,
274,2022-07-05,4,회현(남대문시장),,,,,,,,,,,,
275,2022-07-05,4,명동,,,,,,,,,,,,
276,2022-07-05,4,충무로,,,,,,,,,,,,
277,2022-07-05,4,동대문역사문화공원(DDP),,,,,,,,,,,,
278,2022-07-05,4,동대문,,,,,,,,,,,,
279,2022-07-05,4,혜화,,,,,,,,,,,,
280,2022-07-05,4,한성대입구(삼선교),,,,,,,,,,,,
281,2022-07-05,4,혜화,,,,,,,,,,,,
282,2022-07-06,4,삼각지,,,,,,,,,,,,
283,2022-07-06,4,숙대입구(갈월),,,,,,,,,,,,
