연번,시위일자,호선,역명,,,,,,,,,,,,
476,2022-08-18,4,동대문,,,,,,,,,,,,
477,2022-08-18,4,혜화,,,,,,,,,,,,
478,2022-08-19,4,삼각지,,,,,,,,,,,,
479,2022-08-19,4,숙대입구(갈월),,,,,,,,,,,,
480,2022-08-19,4,서울역,,,,,,,,,,,,
481,2022-08-19,4,회현(남대문시장),,,,,,,,,,,,
482,2022-08-19,4,명동,,,,,,,,,,,,
483,2022-08-19,4,충무로,,,,,,,,,,,,
484,2022-08-19,4,동대문역사문화공원(DDP),,,,,,,,,,,,
485,2022-08-19,4,동대문,,,,,,,,,,,,
486,2022-08-19,4,혜화,,,,,,,,,,,,
487,2022-08-23,4,삼각지,,,,,,,,,,,,
488,2022-08-23,4,숙대입구(갈월),,,,,,,,,,,,
489,2022-08-23,4,서울역,,,,,,,,,,,,
490,2022-08-23,4,회현(남대문시장),,,,,,,,,,,,
491,2022-08-23,4,명동,,,,,,,,,,,,
492,2022-08-23,4,충무로,,,,,,,,,,,,
493,2022-08-23,4,동대문역사문화공원(DDP),,,,,,,,,,,,
494,2022-08-23,4,동대문,,,,,,,,,,,,
495,2022-08-23,4,혜화,,,,,,,,,,,,
496,2022-08-24,4,삼각지,,,,,,,,,,,,
497,2022-08-24,4,숙대입구(갈월),,,,,,,,,,,,
498,2022-08-24,4,서울역,,,,,,,,,,,,
499,2022-08-24,4,회현(남대문시장),,,,,,,,,,,,
500,2022-08-24,4,명동,,,,,,,,,,,,
501,2022-08-24,4,충무로,,,,,,,,,,,,
502,2022-08-24,4,동대문역사문화공원(DDP),,,,,,,,,,,,
503,2022-08-24,4,동대문,,,,,,,,,,,,
504,2022-08-24,4,혜화,,,,,,,,,,,,
505,2022-08-25,4,삼각지,,,,,,,,,,,,
506,2022-08-25,4,숙대입구(갈월),,,,,,,,,,,,
507,2022-08-25,4,서울역,,,,,,,,,,,,
508,2022-08-25,4,회현(남대문시장),,,,,,,,,,,,
509,2022-08-25,4,명동,,,,,,,,,,,,
510,2022-08-25,4,충무로,,,,,,,,,,,,
511,2022-08-25,4,동대문역사문화공원(DDP),,,,,,,,,,,,
512,2022-08-25,4,동대문,,,,,,,,,,,,
513,2022-08-25,4,혜화,,,,,,,,,,,,
514,2022-08-26,4,삼각지,,,,,,,,,,,,
515,2022-08-26,4,숙대입구(갈월),,,,,,,,,,,,
516,2022-08-26,4,서울역,,,,,,,,,,,,
517,2022-08-26,4,회현(남대문시장),,,,,,,,,,,,
518,2022-08-26,4,명동,,,,,,,,,,,,
519,2022-08-26,4,충무로,,,,,,,,,,,,
520,2022-08-26,4,동대문역사문화공원(DDP),,,,,,,,,,,,
521,2022-08-26,4,동대문,,,,,,,,,,,,
522,2022-08-26,4,혜화,,,,,,,,,,,,
523,2022-08-30,4,삼각지,,,,,,,,,,,,
524,2022-08-30,4,숙대입구(갈월),,,,,,,,,,,,
525,2022-08-30,4,서울역,,,,,,,,,,,,
526,2022-08-30,4,회현(남대문시장),,,,,,,,,,,,
527,2022-08-30,4,명동,,,,,,,,,,,,
528,2022-08-30,4,충무로,,,,,,,,,,,,
529,2022-08-30,4,동대문역사문화공원(DDP),,,,,,,,,,,,
530,2022-08-30,4,동대문,,,,,,,,,,,,
531,2022-08-30,4,혜화,,,,,,,,,,,,
532,2022-08-31,4,삼각지,,,,,,,,,,,,
533,2022-08-31,4,숙대입구(갈월),,,,,,,,,,,,
534,2022-08-31,4,서울역,,,,,,,,,,,,
535,2022-08-31,4,회현(남대문시장),,,,,,,,,,,,
536,2022-08-31,4,명동,,,,,,,,,,,,
537,2022-08-31,4,충무로,,,,,,,,,,,,
538,2022-08-31,4,동대문역사문화공원(DDP),,,,,,,,,,,,
539,2022-08-31,4,동대문,,,,,,,,,,,,
540,2022-08-31,4,혜화,,,,,,,,,,,,
