연번,시위일자,호선,역명,,,,*6/30 (퇴근길이라 삭제)
149,2022-07-08,4,혜화,,,,
150,2022-07-11,4,삼각지,,,,
151,2022-07-11,4,숙대입구(갈월),,,,
152,2022-07-11,4,서울역,,,,
153,2022-07-11,4,회현(남대문시장),,,,
154,2022-07-11,4,명동,,,,
155,2022-07-11,4,충무로,,,,
156,2022-07-11,4,동대문역사문화공원(DDP),,,,
157,2022-07-11,4,동대문,,,,
158,2022-07-11,4,혜화,,,,
159,2022-07-12,4,삼각지,,,,
160,2022-07-12,4,숙대입구(갈월),,,,
161,2022-07-12,4,서울역,,,,
162,2022-07-12,4,회현(남대문시장),,,,
163,2022-07-12,4,명동,,,,
164,2022-07-12,4,충무로,,,,
165,2022-07-12,4,동대문역사문화공원(DDP),,,,
166,2022-07-12,4,동대문,,,,
167,2022-07-12,4,혜화,,,,
168,2022-07-13,4,삼각지,,,,
169,2022-07-13,4,?,,,,
170,2022-07-14,4,삼각지,,,,
171,2022-07-14,4,숙대입구(갈월),,,,
172,2022-07-14,4,서울역,,,,
173,2022-07-14,4,회현(남대문시장),,,,
174,2022-07-14,4,명동,,,,
175,2022-07-14,4,충무로,,,,
176,2022-07-14,4,동대문역사문화공원(DDP),,,,
177,2022-07-14,4,동대문,,,,
178,2022-07-14,4,혜화,,,,
179,2022-07-14,4,한성대입구(삼선교),,,,
180,2022-07-14,4,혜화,,,,
181,2022-07-15,4,삼각지,,,,
182,2022-07-15,4,숙대입구(갈월),,,,
183,2022-07-15,4,서울역,,,,
184,2022-07-15,4,회현(남대문시장),,,,
185,2022-07-15,4,명동,,,,
186,2022-07-15,4,충무로,,,,
187,2022-07-15,4,동대문역사문화공원(DDP),,,,
188,2022-07-15,4,동대문,,,,
189,2022-07-15,4,혜화,,,,
190,2022-07-18,4,삼각지,,,,
191,2022-07-18,4,숙대입구(갈월),,,,
192,2022-07-18,4,서울역,,,,
193,2022-07-18,4,회현(남대문시장),,,,
194,2022-07-18,4,명동,,,,
195,2022-07-18,4,충무로,,,,
196,2022-07-18,4,동대문역사문화공원(DDP),,,,
197,2022-07-18,4,동대문,,,,
198,2022-07-18,4,혜화,,,,
199,2022-07-19,4,삼각지,,,,
200,2022-07-19,4,?,,,,
201,2022-07-20,4,삼각지,,,,
202,2022-07-20,4,숙대입구(갈월),,,,
203,2022-07-20,4,서울역,,,,
