수송일자,호선,역명,07-10시간대
2022-06-07,4,이촌(국립중앙박물관),1895
2022-06-07,4,동작(현충원),357
2022-06-07,4,총신대입구(이수),6348
2022-06-07,4,사당,10085
2022-06-07,4,남태령,356
2022-06-08,4,당고개,4219
2022-06-08,4,상계,9022
2022-06-08,4,노원,6290
2022-06-08,4,창동,9600
2022-06-08,4,쌍문,14381
2022-06-08,4,수유(강북구청),13452
2022-06-08,4,미아(서울사이버대학),5705
2022-06-08,4,미아사거리,11136
2022-06-08,4,길음,10099
2022-06-08,4,성신여대입구(돈암),5810
2022-06-08,4,한성대입구(삼선교),3969
2022-06-08,4,혜화,2551
2022-06-08,4,동대문,1052
2022-06-08,4,동대문역사문화공원(DDP),946
2022-06-08,4,충무로,1477
2022-06-08,4,명동,885
2022-06-08,4,회현(남대문시장),876
2022-06-08,4,서울역,1640
2022-06-08,4,숙대입구(갈월),2606
2022-06-08,4,삼각지,1094
2022-06-08,4,신용산,1823
2022-06-08,4,이촌(국립중앙박물관),1858
2022-06-08,4,동작(현충원),408
2022-06-08,4,총신대입구(이수),6491
2022-06-08,4,사당,10034
2022-06-08,4,남태령,337
2022-06-09,4,당고개,4195
2022-06-09,4,상계,8954
2022-06-09,4,노원,6119
2022-06-09,4,창동,9593
2022-06-09,4,쌍문,14234
2022-06-09,4,수유(강북구청),13383
2022-06-09,4,미아(서울사이버대학),5528
2022-06-09,4,미아사거리,11091
2022-06-09,4,길음,10055
2022-06-09,4,성신여대입구(돈암),5781
2022-06-09,4,한성대입구(삼선교),4014
2022-06-09,4,혜화,2580
2022-06-09,4,동대문,1037
2022-06-09,4,동대문역사문화공원(DDP),954
2022-06-09,4,충무로,1493
2022-06-09,4,명동,851
2022-06-09,4,회현(남대문시장),905
2022-06-09,4,서울역,1623
2022-06-09,4,숙대입구(갈월),2683
2022-06-09,4,삼각지,1125
2022-06-09,4,신용산,1791
2022-06-09,4,이촌(국립중앙박물관),1760
2022-06-09,4,동작(현충원),332
2022-06-09,4,총신대입구(이수),6380
2022-06-09,4,사당,10191
2022-06-09,4,남태령,330
2022-06-10,4,당고개,4063
2022-06-10,4,상계,8684
2022-06-10,4,노원,6036
2022-06-10,4,창동,9232
2022-06-10,4,쌍문,13962
2022-06-10,4,수유(강북구청),13078
2022-06-10,4,미아(서울사이버대학),5514
2022-06-10,4,미아사거리,10793
2022-06-10,4,길음,9673
2022-06-10,4,성신여대입구(돈암),5613
2022-06-10,4,한성대입구(삼선교),3845
2022-06-10,4,혜화,2489
2022-06-10,4,동대문,1127
2022-06-10,4,동대문역사문화공원(DDP),976
2022-06-10,4,충무로,1535
2022-06-10,4,명동,857
2022-06-10,4,회현(남대문시장),880
2022-06-10,4,서울역,1624
2022-06-10,4,숙대입구(갈월),2613
2022-06-10,4,삼각지,1060
2022-06-10,4,신용산,1695
2022-06-10,4,이촌(국립중앙박물관),1697
2022-06-10,4,동작(현충원),429
2022-06-10,4,총신대입구(이수),6221
2022-06-10,4,사당,9665
2022-06-10,4,남태령,328
2022-06-11,4,당고개,1782
2022-06-11,4,상계,3348
2022-06-11,4,노원,2561
2022-06-11,4,창동,3810
2022-06-11,4,쌍문,5764
2022-06-11,4,수유(강북구청),5932
2022-06-11,4,미아(서울사이버대학),2532
2022-06-11,4,미아사거리,4448
2022-06-11,4,길음,3328
2022-06-11,4,성신여대입구(돈암),2325
2022-06-11,4,한성대입구(삼선교),1678
2022-06-11,4,혜화,1357
2022-06-11,4,동대문,558
2022-06-11,4,동대문역사문화공원(DDP),586
2022-06-11,4,충무로,948
2022-06-11,4,명동,632
2022-06-11,4,회현(남대문시장),631
2022-06-11,4,서울역,892
2022-06-11,4,숙대입구(갈월),1245
2022-06-11,4,삼각지,378
2022-06-11,4,신용산,875
2022-06-11,4,이촌(국립중앙박물관),644
2022-06-11,4,동작(현충원),216
2022-06-11,4,총신대입구(이수),2437
2022-06-11,4,사당,3490
2022-06-11,4,남태령,320
2022-06-12,4,당고개,1191
2022-06-12,4,상계,2112
2022-06-12,4,노원,1825
2022-06-12,4,창동,2508
2022-06-12,4,쌍문,3715
2022-06-12,4,수유(강북구청),4159
2022-06-12,4,미아(서울사이버대학),1710
2022-06-12,4,미아사거리,3083
2022-06-12,4,길음,2175
2022-06-12,4,성신여대입구(돈암),1532
2022-06-12,4,한성대입구(삼선교),1093
2022-06-12,4,혜화,1004
2022-06-12,4,동대문,309
2022-06-12,4,동대문역사문화공원(DDP),466
2022-06-12,4,충무로,678
2022-06-12,4,명동,577
2022-06-12,4,회현(남대문시장),437
2022-06-12,4,서울역,613
2022-06-12,4,숙대입구(갈월),900
2022-06-12,4,삼각지,265
2022-06-12,4,신용산,535
2022-06-12,4,이촌(국립중앙박물관),448
2022-06-12,4,동작(현충원),153
2022-06-12,4,총신대입구(이수),1683
2022-06-12,4,사당,2281
2022-06-12,4,남태령,199
2022-06-13,4,당고개,4160
2022-06-13,4,상계,8774
2022-06-13,4,노원,5885
2022-06-13,4,창동,9639
2022-06-13,4,쌍문,13850
2022-06-13,4,수유(강북구청),13088
2022-06-13,4,미아(서울사이버대학),5580
2022-06-13,4,미아사거리,10791
2022-06-13,4,길음,9559
2022-06-13,4,성신여대입구(돈암),5553
2022-06-13,4,한성대입구(삼선교),3912
2022-06-13,4,혜화,2729
2022-06-13,4,동대문,1039
2022-06-13,4,동대문역사문화공원(DDP),1031
2022-06-13,4,충무로,1525
2022-06-13,4,명동,819
2022-06-13,4,회현(남대문시장),855
2022-06-13,4,서울역,1710
2022-06-13,4,숙대입구(갈월),2753
2022-06-13,4,삼각지,1237
2022-06-13,4,신용산,2327
2022-06-13,4,이촌(국립중앙박물관),1867
2022-06-13,4,동작(현충원),438
2022-06-13,4,총신대입구(이수),6304
2022-06-13,4,사당,10221
2022-06-13,4,남태령,393
2022-06-14,4,당고개,4199
2022-06-14,4,상계,8915
2022-06-14,4,노원,6074
2022-06-14,4,창동,9531
2022-06-14,4,쌍문,13973
2022-06-14,4,수유(강북구청),13366
2022-06-14,4,미아(서울사이버대학),5441
2022-06-14,4,미아사거리,11092
2022-06-14,4,길음,9786
2022-06-14,4,성신여대입구(돈암),5602
2022-06-14,4,한성대입구(삼선교),3928
2022-06-14,4,혜화,2636
2022-06-14,4,동대문,1071
2022-06-14,4,동대문역사문화공원(DDP),938
2022-06-14,4,충무로,1495
2022-06-14,4,명동,820
2022-06-14,4,회현(남대문시장),852
2022-06-14,4,서울역,1658
2022-06-14,4,숙대입구(갈월),2604
2022-06-14,4,삼각지,1106
2022-06-14,4,신용산,1787
2022-06-14,4,이촌(국립중앙박물관),1876
2022-06-14,4,동작(현충원),389
2022-06-14,4,총신대입구(이수),6366
2022-06-14,4,사당,10121
2022-06-14,4,남태령,335
2022-06-15,4,당고개,4162
2022-06-15,4,상계,8796
2022-06-15,4,노원,5960
2022-06-15,4,창동,9557
2022-06-15,4,쌍문,13817
2022-06-15,4,수유(강북구청),13176
2022-06-15,4,미아(서울사이버대학),5486
2022-06-15,4,미아사거리,11154
2022-06-15,4,길음,10055
2022-06-15,4,성신여대입구(돈암),5572
2022-06-15,4,한성대입구(삼선교),3940
2022-06-15,4,혜화,2578
2022-06-15,4,동대문,996
2022-06-15,4,동대문역사문화공원(DDP),932
2022-06-15,4,충무로,1525
2022-06-15,4,명동,834
2022-06-15,4,회현(남대문시장),874
2022-06-15,4,서울역,1724
2022-06-15,4,숙대입구(갈월),2647
2022-06-15,4,삼각지,1068
2022-06-15,4,신용산,1775
2022-06-15,4,이촌(국립중앙박물관),1809
2022-06-15,4,동작(현충원),340
2022-06-15,4,총신대입구(이수),6273
2022-06-15,4,사당,10057
2022-06-15,4,남태령,351
2022-06-16,4,당고개,4108
2022-06-16,4,상계,8713
2022-06-16,4,노원,6004
2022-06-16,4,창동,9507
2022-06-16,4,쌍문,13949
2022-06-16,4,수유(강북구청),13210
2022-06-16,4,미아(서울사이버대학),5505
2022-06-16,4,미아사거리,10801
2022-06-16,4,길음,9928
2022-06-16,4,성신여대입구(돈암),5643
2022-06-16,4,한성대입구(삼선교),3877
2022-06-16,4,혜화,2548
2022-06-16,4,동대문,999
2022-06-16,4,동대문역사문화공원(DDP),965
2022-06-16,4,충무로,1540
2022-06-16,4,명동,826
2022-06-16,4,회현(남대문시장),891
2022-06-16,4,서울역,1637
2022-06-16,4,숙대입구(갈월),2665
2022-06-16,4,삼각지,1098
2022-06-16,4,신용산,1766
2022-06-16,4,이촌(국립중앙박물관),1841
2022-06-16,4,동작(현충원),320
2022-06-16,4,총신대입구(이수),6293
2022-06-16,4,사당,9935
2022-06-16,4,남태령,342
